name,type,start_time,duration,"data","error","ack","address","read"
"I2C","data",3.49966619,2.31875e-05,0xA5,,true,,
"I2C","data",3.49969088,2.325e-05,0x03,,true,,
"I2C","data",3.49971556,2.33125e-05,0x00,,true,,
"I2C","data",3.49974031,2.325e-05,0x00,,true,,
"I2C","data",3.49976506,2.325e-05,0x28,,true,,
"I2C","data",3.49978981,2.325e-05,0xEF,,true,,
"I2C","data",3.4998145,2.325e-05,0x5B,,true,,
"I2C","data",3.49983925,2.325e-05,0x00,,true,,
"I2C","data",3.499864,2.325e-05,0x03,,true,,
"I2C","data",3.49988875,2.325e-05,0x00,,true,,
"I2C","data",3.49991344,2.325e-05,0x00,,true,,
"I2C","data",3.49993819,2.325e-05,0x00,,true,,
"I2C","data",3.49996294,2.325e-05,0x40,,true,,
"I2C","data",3.49998769,2.325e-05,0x0D,,true,,
"I2C","data",3.50001237,2.325e-05,0x03,,true,,
"I2C","data",3.50003712,2.325e-05,0x00,,true,,
"I2C","data",3.50006188,2.325e-05,0x0A,,true,,
"I2C","data",3.50008662,2.325e-05,0x00,,true,,
"I2C","data",3.50011131,2.325e-05,0x01,,true,,
"I2C","data",3.50013606,2.325e-05,0x00,,true,,
"I2C","data",3.50016081,2.325e-05,0x80,,true,,
"I2C","data",3.50018556,2.325e-05,0x8D,,true,,
"I2C","data",3.50021025,2.33125e-05,0x5B,,true,,
"I2C","data",3.500235,2.325e-05,0x00,,true,,
"I2C","data",3.50025975,2.325e-05,0x20,,true,,
"I2C","data",3.5002845,2.325e-05,0xBF,,true,,
"I2C","data",3.50030919,2.33125e-05,0x02,,true,,
"I2C","data",3.50033394,2.325e-05,0x00,,true,,
"I2C","data",3.50035869,2.325e-05,0x00,,true,,
"I2C","data",3.50038344,2.325e-05,0x12,,true,,
"I2C","data",3.50040812,2.33125e-05,0x7A,,true,,
"I2C","data",3.50043287,2.325e-05,0x00,,true,,
"I2C","data",3.50045763,2.325e-05,0x60,,true,,
"I2C","data",3.50048237,2.325e-05,0xE3,,true,,
"I2C","data",3.50050712,2.325e-05,0x16,,true,,
"I2C","data",3.50053181,2.325e-05,0x00,,true,,
"I2C","data",3.50055656,2.325e-05,0x30,,true,,
"I2C","data",3.50058131,2.325e-05,0x11,,true,,
"I2C","data",3.500606,2.33125e-05,0x00,,true,,
"I2C","data",3.50063075,2.325e-05,0x00,,true,,
"I2C","data",3.5006555,2.325e-05,0xD0,,true,,
"I2C","data",3.50068025,2.325e-05,0xEE,,true,,
"I2C","data",3.50070494,2.33125e-05,0xFF,,true,,
"I2C","data",3.50072969,2.325e-05,0xFF,,true,,
"I2C","data",3.50075444,2.325e-05,0x20,,true,,
"I2C","data",3.50077919,2.325e-05,0x03,,true,,
"I2C","data",3.50080387,2.33125e-05,0xD0,,true,,
"I2C","data",3.50082863,2.325e-05,0x07,,true,,
"I2C","data",3.50085338,2.325e-05,0x64,,true,,
"I2C","data",3.50087812,2.325e-05,0x00,,true,,
"I2C","data",3.50090281,2.325e-05,0xF4,,true,,
"I2C","data",3.50092756,2.325e-05,0x01,,true,,
"I2C","data",3.50095231,2.325e-05,0x00,,true,,
"I2C","data",3.50097706,2.325e-05,0x00,,true,,
"I2C","data",3.50100175,2.325e-05,0x00,,true,,
"I2C","data",3.5010265,2.325e-05,0x00,,true,,
"I2C","data",3.50105125,2.325e-05,0x00,,true,,
"I2C","data",3.501076,2.325e-05,0x00,,true,,
"I2C","data",3.50110069,2.325e-05,0x00,,true,,
"I2C","data",3.50112544,2.325e-05,0x00,,true,,
"I2C","data",3.50115019,2.325e-05,0x00,,true,,
"I2C","data",3.50117494,2.325e-05,0x00,,true,,
"I2C","data",3.50119962,2.325e-05,0x00,,true,,
"I2C","data",3.50122438,2.325e-05,0x00,,true,,
"I2C","data",3.50124913,2.325e-05,0x00,,true,,
"I2C","data",3.50127387,2.325e-05,0x00,,true,,
"I2C","data",3.50129856,2.325e-05,0x00,,true,,
"I2C","data",3.50132331,2.325e-05,0x00,,true,,
"I2C","data",3.50134806,2.325e-05,0x00,,true,,
"I2C","data",3.50137281,2.325e-05,0x00,,true,,
"I2C","data",3.5013975,2.325e-05,0x00,,true,,
"I2C","data",3.50142225,2.325e-05,0x01,,true,,
"I2C","data",3.501447,2.325e-05,0x00,,true,,
"I2C","data",3.50147175,2.325e-05,0x00,,true,,
"I2C","data",3.50149644,2.325e-05,0x00,,true,,
"I2C","data",3.50152119,2.325e-05,0x00,,true,,
"I2C","data",3.50154594,2.325e-05,0x00,,true,,
"I2C","data",3.50157069,2.325e-05,0x00,,true,,
"I2C","data",3.50159537,2.325e-05,0x00,,true,,
"I2C","data",3.50162013,2.325e-05,0x00,,true,,
"I2C","data",3.50164488,2.325e-05,0x00,,true,,
"I2C","data",3.50166962,2.325e-05,0x00,,true,,
"I2C","data",3.50169431,2.33125e-05,0x00,,true,,
"I2C","data",3.50171906,2.325e-05,0x00,,true,,
"I2C","data",3.50174381,2.325e-05,0x00,,true,,
"I2C","data",3.50176856,2.325e-05,0x00,,true,,
"I2C","data",3.50179331,2.325e-05,0x00,,true,,
"I2C","data",3.501818,2.325e-05,0x00,,true,,
"I2C","data",3.50184275,2.325e-05,0x00,,true,,
"I2C","data",3.5018675,2.325e-05,0x00,,true,,
"I2C","data",3.50189225,2.325e-05,0x00,,true,,
"I2C","data",3.501917,2.325e-05,0x00,,true,,
"I2C","data",3.50194169,2.325e-05,0x00,,true,,
"I2C","data",3.50196644,2.325e-05,0x00,,true,,
"I2C","data",3.50199119,2.325e-05,0x00,,true,,
"I2C","data",3.50201594,2.325e-05,0x00,,false,,
"I2C","stop",3.50204213,6.24999998e-08,,,,,
"I2C","start",3.50204694,6.25000002e-08,,,,,
"I2C","address",3.5020495,2.325e-05,,,true,0x25,false
"I2C","data",3.50207575,2.3125e-05,0x40,,true,,
"I2C","start",3.50210438,6.24999998e-08,,,,,
"I2C","address",3.502107,2.325e-05,,,true,0x25,true
"I2C","data",3.50213606,2.31875e-05,0x00,,false,,
"I2C","stop",3.50216219,6.24999998e-08,,,,,
"I2C","start",3.80007944,6.24999998e-08,,,,,
"I2C","address",3.80008206,2.325e-05,,,true,0x25,false
"I2C","stop",3.80010975,6.25000007e-08,,,,,
"I2C","start",3.80011469,6.25000002e-08,,,,,
"I2C","address",3.80011725,2.33125e-05,,,true,0x25,false
"I2C","data",3.80014363,2.3125e-05,0x00,,true,,
"I2C","start",3.800172,6.25000002e-08,,,,,
"I2C","address",3.80017462,2.325e-05,,,true,0x25,true
"I2C","data",3.80020375,2.325e-05,0xA5,,true,,
"I2C","data",3.8002285,2.325e-05,0x03,,false,,
"I2C","stop",3.80025469,6.25000002e-08,,,,,
"I2C","start",3.80026012,6.25000002e-08,,,,,
"I2C","address",3.80026269,2.33125e-05,,,true,0x25,false
"I2C","data",3.80028894,2.3125e-05,0x40,,true,,
"I2C","start",3.80031744,6.24999998e-08,,,,,
"I2C","address",3.80032006,2.325e-05,,,true,0x25,true
"I2C","data",3.80034912,2.31875e-05,0x00,,false,,
"I2C","stop",3.80037525,6.24999998e-08,,,,,
"I2C","start",3.80038044,6.25000002e-08,,,,,
"I2C","address",3.800383,2.325e-05,,,true,0x25,false
"I2C","data",3.80040925,2.3125e-05,0x00,,true,,
"I2C","start",3.80043775,6.24999998e-08,,,,,
"I2C","address",3.80044037,2.325e-05,,,true,0x25,true
"I2C","data",3.8004695,2.325e-05,0xA5,,true,,
"I2C","data",3.80049419,2.33125e-05,0x03,,true,,
"I2C","data",3.80051894,2.325e-05,0x00,,true,,
"I2C","data",3.80054369,2.325e-05,0x00,,true,,
"I2C","data",3.80056844,2.325e-05,0x28,,true,,
"I2C","data",3.80059312,2.33125e-05,0xEF,,true,,
"I2C","data",3.80061787,2.325e-05,0x5B,,true,,
"I2C","data",3.80064263,2.325e-05,0x00,,true,,
"I2C","data",3.80066738,2.325e-05,0x03,,true,,
"I2C","data",3.80069212,2.325e-05,0x00,,true,,
"I2C","data",3.80071681,2.325e-05,0x00,,true,,
"I2C","data",3.80074156,2.325e-05,0x00,,true,,
"I2C","data",3.80076631,2.325e-05,0x40,,true,,
"I2C","data",3.80079106,2.325e-05,0x0D,,true,,
"I2C","data",3.80081575,2.325e-05,0x03,,true,,
"I2C","data",3.8008405,2.325e-05,0x00,,true,,
"I2C","data",3.80086525,2.325e-05,0x0A,,true,,
"I2C","data",3.80089,2.325e-05,0x00,,true,,
"I2C","data",3.80091469,2.33125e-05,0x01,,true,,
"I2C","data",3.80093944,2.325e-05,0x00,,true,,
"I2C","data",3.80096419,2.325e-05,0x80,,true,,
"I2C","data",3.80098894,2.325e-05,0x8D,,true,,
"I2C","data",3.80101362,2.33125e-05,0x5B,,true,,
"I2C","data",3.80103838,2.325e-05,0x00,,true,,
"I2C","data",3.80106313,2.325e-05,0x20,,true,,
"I2C","data",3.80108787,2.325e-05,0xBF,,true,,
"I2C","data",3.80111263,2.325e-05,0x02,,true,,
"I2C","data",3.80113731,2.325e-05,0x00,,true,,
"I2C","data",3.80116206,2.325e-05,0x00,,true,,
"I2C","data",3.80118681,2.325e-05,0x12,,true,,
"I2C","data",3.8012115,2.325e-05,0x7A,,true,,
"I2C","data",3.80123625,2.325e-05,0x00,,true,,
"I2C","data",3.801261,2.325e-05,0x60,,true,,
"I2C","data",3.80128575,2.325e-05,0xE3,,true,,
"I2C","data",3.80131044,2.325e-05,0x16,,true,,
"I2C","data",3.80133519,2.325e-05,0x00,,true,,
"I2C","data",3.80135994,2.325e-05,0x30,,true,,
"I2C","data",3.80138469,2.325e-05,0x11,,true,,
"I2C","data",3.80140937,2.325e-05,0x00,,true,,
"I2C","data",3.80143413,2.325e-05,0x00,,true,,
"I2C","data",3.80145887,2.325e-05,0xD0,,true,,
"I2C","data",3.80148362,2.325e-05,0xEE,,true,,
"I2C","data",3.80150831,2.33125e-05,0xFF,,true,,
"I2C","data",3.80153306,2.325e-05,0xFF,,true,,
"I2C","data",3.80155781,2.325e-05,0x20,,true,,
"I2C","data",3.80158256,2.325e-05,0x03,,true,,
"I2C","data",3.80160731,2.325e-05,0xD0,,true,,
"I2C","data",3.80163206,2.325e-05,0x07,,true,,
